Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.103191035,0.04538695
CO (Launch),0.343983381,0.420842636
CO2 (Launch),10.024746878,0.943798037
NOx (Launch),0.182959648,0.014215963
H2O (Launch),12.419712035,2.72798507
Al2O3 (Launch),2.466372285,0.028907463
Cl (Launch),0.140952463,0.004494758
HCl (Launch),1.048773303,0.005816746
Cl2 (Launch),0.441989215,0.008725118
NOx (Reentry),1.082324491,0.0
Al2O3 (Reentry),0.59925221,0.0
BC (Reentry),0.024270148,0.0
Cl (Reentry),0.008964442,0.0
HCl (Reentry),0.004591999,0.0
Cly (Total),1.645271422,0.019036622
NOx (Total),1.265284139,0.014215963
Total Emis,28.892083533,4.200172741
Total Prop,20.952318806,3.685220287
Surviving Mass,2.000135716,2.000135716
