Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.078223433,0.049687655
CO (Launch),0.293180477,0.454215575
CO2 (Launch),8.383424124,1.027027217
NOx (Launch),0.152759393,0.016019548
H2O (Launch),7.495615512,1.537885003
Al2O3 (Launch),1.042760808,0.025865788
Cl (Launch),0.048738203,0.004021815
HCl (Launch),0.470636104,0.005204701
Cl2 (Launch),0.170500699,0.007807052
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.689875006,0.017033567
NOx (Total),0.152759393,0.016019548
Total Emis,18.135838753,3.127734352
Total Prop,14.918502827,2.984189144
Surviving Mass,0.0,0.0
