,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.07630241157718275
1,CO (Launch),0.24990715875373498
2,CO2 (Launch),6.548764716080254
3,NOx (Launch),0.16394725269266747
4,H2O (Launch),8.722791958278425
5,Al2O3 (Launch),1.3707459222419163
6,Cl (Launch),0.06529189352702916
7,HCl (Launch),0.611594729898792
8,Cl2 (Launch),0.22997844709483817
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.9068650705206593
15,NOx (Total),0.16394725269266747
16,Total Emis,18.039324490144836
17,Total Prop,15.710408794940909
18,Surviving Mass,0.0
