Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.096355286,0.046021131
CO (Launch),0.328218426,0.457952028
CO2 (Launch),10.366727846,0.987717659
NOx (Launch),0.163908058,0.012237775
H2O (Launch),11.981355962,2.710550039
Al2O3 (Launch),2.366510681,0.05550683
Cl (Launch),0.134933338,0.008630635
HCl (Launch),1.006994199,0.011169057
Cl2 (Launch),0.423720464,0.016753586
NOx (Reentry),1.03057505,0.0
Al2O3 (Reentry),0.578033845,0.0
BC (Reentry),0.025164872,0.0
Cl (Reentry),0.009302488,0.0
HCl (Reentry),0.00474851,0.0
Cly (Total),1.579698998,0.036553279
NOx (Total),1.194483108,0.012237775
Total Emis,28.516549024,4.30653874
Total Prop,19.998003754,3.664520092
Surviving Mass,1.90546795,1.90546795
