,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.0658760461209161
1,CO (Launch),0.2775081121571687
2,CO2 (Launch),6.459415122894152
3,NOx (Launch),0.1123927459884037
4,H2O (Launch),6.222253962149296
5,Al2O3 (Launch),0.8362896461937616
6,Cl (Launch),0.042846362608616385
7,HCl (Launch),0.36540759642168474
8,Cl2 (Launch),0.14502278806980018
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.5532767471001013
15,NOx (Total),0.1123927459884037
16,Total Emis,14.527012382603798
17,Total Prop,11.791104484881998
18,Surviving Mass,0.0
