Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.140517434,0.077947767
CO (Launch),0.45545114,0.629163659
CO2 (Launch),13.365099945,1.492650602
NOx (Launch),0.263620598,0.030371724
H2O (Launch),15.663059334,3.819283253
Al2O3 (Launch),3.026196694,0.029974744
Cl (Launch),0.163154965,0.004660707
HCl (Launch),1.311502157,0.006031503
Cl2 (Launch),0.527429439,0.009047255
NOx (Reentry),1.499844575,0.0
Al2O3 (Reentry),0.854416905,0.0
BC (Reentry),0.041615461,0.0
Cl (Reentry),0.015390163,0.0
HCl (Reentry),0.007841662,0.0
Cly (Total),2.025318386,0.019739466
NOx (Total),1.763465173,0.030371724
Total Emis,37.335140472,6.099131216
Total Prop,27.909491487,5.802675082
Surviving Mass,2.78038115,2.78038115
