Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.130311877,0.060832132
CO (Launch),0.432433489,0.564661877
CO2 (Launch),13.165333555,1.284452844
NOx (Launch),0.230928938,0.019307625
H2O (Launch),17.013936503,3.848727579
Al2O3 (Launch),3.379834016,0.008500809
Cl (Launch),0.192163052,0.001321772
HCl (Launch),1.439373846,0.001710529
Cl2 (Launch),0.604510658,0.002565793
NOx (Reentry),1.360490875,0.0
Al2O3 (Reentry),0.744638323,0.0
BC (Reentry),0.035284718,0.0
Cl (Reentry),0.013020758,0.0
HCl (Reentry),0.006696306,0.0
Cly (Total),2.25576462,0.005598094
NOx (Total),1.591419813,0.019307625
Total Emis,38.748956914,5.792080959
Total Prop,27.629730857,5.073642941
Surviving Mass,2.597511125,2.597511125
