Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.118229221,0.058063338
CO (Launch),0.369706346,0.496495723
CO2 (Launch),11.706685399,1.160633404
NOx (Launch),0.224586926,0.02101916
H2O (Launch),13.823342545,3.104820309
Al2O3 (Launch),2.645411163,0.010873894
Cl (Launch),0.153184822,0.001690758
HCl (Launch),1.119699875,0.00218804
Cl2 (Launch),0.477279691,0.00328206
NOx (Reentry),1.2161331,0.0
Al2O3 (Reentry),0.689168985,0.0
BC (Reentry),0.032389658,0.0
Cl (Reentry),0.011975798,0.0
HCl (Reentry),0.006107438,0.0
Cly (Total),1.768247624,0.007160857
NOx (Total),1.440720026,0.02101916
Total Emis,32.593900968,4.859066686
Total Prop,24.224385785,4.477627455
Surviving Mass,2.25085815,2.25085815
