,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.0052501553129512876
1,CO (Launch),0.038896259236085515
2,CO2 (Launch),0.5753942756842947
3,NOx (Launch),0.0028251218129070428
4,H2O (Launch),0.2408594620316637
5,Al2O3 (Launch),4.592597728638835e-05
6,Cl (Launch),7.2095088287411865e-06
7,HCl (Launch),9.288069535411774e-06
8,Cl2 (Launch),1.388635968707929e-05
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),3.0383938051232252e-05
15,NOx (Total),0.0028251218129070428
16,Total Emis,0.86330158399324
17,Total Prop,0.5609398788693328
18,Surviving Mass,0.0
