Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.165976257,0.071464269
CO (Launch),0.587016506,0.677974832
CO2 (Launch),16.92270346,1.530562529
NOx (Launch),0.256175546,0.021776284
H2O (Launch),18.232615425,4.091169502
Al2O3 (Launch),3.362856338,0.010484869
Cl (Launch),0.189395715,0.001630269
HCl (Launch),1.436008442,0.00210976
Cl2 (Launch),0.599411384,0.00316464
NOx (Reentry),1.72561745,0.0
Al2O3 (Reentry),0.920772765,0.0
BC (Reentry),0.054188734,0.0
Cl (Reentry),0.019939778,0.0
HCl (Reentry),0.010379971,0.0
Cly (Total),2.25513529,0.00690467
NOx (Total),1.981792996,0.021776284
Total Emis,44.483057772,6.410336952
Total Prop,31.285359751,5.629649312
Surviving Mass,3.39971285,3.39971285
