Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.143500936,0.067049422
CO (Launch),0.484712593,0.581302062
CO2 (Launch),14.220761532,1.353875832
NOx (Launch),0.240205497,0.023807477
H2O (Launch),15.159023899,3.469480187
Al2O3 (Launch),2.5556616,0.009828862
Cl (Launch),0.145290367,0.001528268
HCl (Launch),1.088012632,0.001977759
Cl2 (Launch),0.457484549,0.002966638
NOx (Reentry),1.5027813,0.0
Al2O3 (Reentry),0.8293985,0.0
BC (Reentry),0.046197194,0.0
Cl (Reentry),0.01702519,0.0
HCl (Reentry),0.008805212,0.0
Cly (Total),1.716617951,0.006472665
NOx (Total),1.742986797,0.023807477
Total Emis,36.898861001,5.511816507
Total Prop,26.909228752,5.076351006
Surviving Mass,2.8531342,2.8531342
