Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.146192108,0.068864465
CO (Launch),0.43652605,0.570841674
CO2 (Launch),13.447453026,1.333934094
NOx (Launch),0.267221948,0.025794593
H2O (Launch),18.346393898,4.41941518
Al2O3 (Launch),4.222397622,0.038299585
Cl (Launch),0.226526584,0.005955118
HCl (Launch),1.82998254,0.007706624
Cl2 (Launch),0.736966116,0.011559936
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),2.79347524,0.025221678
NOx (Total),0.267221948,0.025794593
Total Emis,39.659659893,6.482371269
Total Prop,30.5922231,5.873630561
Surviving Mass,0.0,0.0
