,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.09921734360297665
1,CO (Launch),0.35116007162872426
2,CO2 (Launch),10.162493048676055
3,NOx (Launch),0.17674794882847145
4,H2O (Launch),9.023117748997201
5,Al2O3 (Launch),1.752175602710996
6,Cl (Launch),0.08011114129758125
7,HCl (Launch),0.7921172857632922
8,Cl2 (Launch),0.2869848414536354
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),1.159213268514509
15,NOx (Total),0.17674794882847145
16,Total Emis,22.72412503295893
17,Total Prop,18.28792056489223
18,Surviving Mass,0.0
