,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.08520658039632167
1,CO (Launch),0.3061475626981019
2,CO2 (Launch),7.3459218939567466
3,NOx (Launch),0.15845877965895566
4,H2O (Launch),8.870196069765752
5,Al2O3 (Launch),1.6513826937977074
6,Cl (Launch),0.07809885427028374
7,HCl (Launch),0.7372348313038455
8,Cl2 (Launch),0.2771964969876429
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),1.0925301825617721
15,NOx (Total),0.15845877965895566
16,Total Emis,19.509843762835356
17,Total Prop,16.356328964490945
18,Surviving Mass,0.0
