Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.151930902,0.075229957
CO (Launch),0.497365561,0.592490047
CO2 (Launch),14.475264974,1.427039042
NOx (Launch),0.281261515,0.030354627
H2O (Launch),17.484445078,4.178935807
Al2O3 (Launch),3.323644979,0.015045955
Cl (Launch),0.173684688,0.002339462
HCl (Launch),1.451903426,0.00302754
Cl2 (Launch),0.573285812,0.00454131
NOx (Reentry),1.702902925,0.0
Al2O3 (Reentry),0.930065245,0.0
BC (Reentry),0.049315443,0.0
Cl (Reentry),0.018190661,0.0
HCl (Reentry),0.009372057,0.0
Cly (Total),2.226436644,0.009908312
NOx (Total),1.98416444,0.030354627
Total Emis,41.122633267,6.329003747
Total Prop,30.427096025,5.974546418
Surviving Mass,3.30718725,3.30718725
