Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.1336598,0.060805386
CO (Launch),0.434305128,0.533906494
CO2 (Launch),12.596985425,1.238389994
NOx (Launch),0.223661422,0.021182844
H2O (Launch),15.662513797,3.77448336
Al2O3 (Launch),3.266986965,0.008111231
Cl (Launch),0.180829673,0.001261198
HCl (Launch),1.401862568,0.001632138
Cl2 (Launch),0.578697566,0.002448207
NOx (Reentry),1.52682595,0.0
Al2O3 (Reentry),0.80620047,0.0
BC (Reentry),0.044298217,0.0
Cl (Reentry),0.016304111,0.0
HCl (Reentry),0.008479114,0.0
Cly (Total),2.186173032,0.005341543
NOx (Total),1.750487372,0.021182844
Total Emis,36.881610207,5.642220852
Total Prop,26.344233244,5.053851318
Surviving Mass,3.0371779,3.0371779
