,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.0836862842240805
1,CO (Launch),0.39355074186961375
2,CO2 (Launch),7.829188321488235
3,NOx (Launch),0.12708428594009377
4,H2O (Launch),7.953680992869277
5,Al2O3 (Launch),1.2212179861408643
6,Cl (Launch),0.0551372961013064
7,HCl (Launch),0.5519121922464206
8,Cl2 (Launch),0.2008901551617688
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.8079396435094958
15,NOx (Total),0.12708428594009377
16,Total Emis,18.416348256041662
17,Total Prop,14.64091418637324
18,Surviving Mass,0.0
