,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.4863330901294196
1,CO (Launch),2.3266751790553406
2,CO2 (Launch),64.22628229818989
3,NOx (Launch),0.5033545107546832
4,H2O (Launch),33.04386549289425
5,Al2O3 (Launch),1.4003743890041578
6,Cl (Launch),0.0779180216552069
7,HCl (Launch),0.6001591020428462
8,Cl2 (Launch),0.24838951815117594
9,NOx (Reentry),1.896271873999999
10,Al2O3 (Reentry),0.9483180185499995
11,BC (Reentry),0.05330511174000007
12,Cl (Reentry),0.01984471065999999
13,HCl (Reentry),0.009822454049999986
14,Cly (Total),0.956133806559229
15,NOx (Total),2.3996263847546824
16,Total Emis,105.84091377087695
17,Total Prop,72.60492164463952
18,Surviving Mass,4.7983646335
