,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.22458233465588662
1,CO (Launch),0.9610612351344552
2,CO2 (Launch),26.790338704462197
3,NOx (Launch),0.293575074095818
4,H2O (Launch),17.668829716101015
5,Al2O3 (Launch),1.7776976092520205
6,Cl (Launch),0.09276722283234323
7,HCl (Launch),0.7756505809628623
8,Cl2 (Launch),0.307680265274167
9,NOx (Reentry),1.3081703071999986
10,Al2O3 (Reentry),0.7218123627599999
11,BC (Reentry),0.029201953087999978
12,Cl (Reentry),0.010853222719999995
13,HCl (Reentry),0.005411773543999987
14,Cly (Total),1.1923630653333726
15,NOx (Total),1.6017453812958167
16,Total Emis,50.96763236208276
17,Total Prop,35.98424529821922
18,Surviving Mass,2.627550083599997
