,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.055638735150076835
1,CO (Launch),0.2825840319139673
2,CO2 (Launch),7.43027130899881
3,NOx (Launch),0.03954222919990672
4,H2O (Launch),2.980896424469283
5,Al2O3 (Launch),0.006043255017946119
6,Cl (Launch),0.00033010444803341306
7,HCl (Launch),0.00260331867696233
8,Cl2 (Launch),0.0010647038829416965
9,NOx (Reentry),0.13917437500000002
10,Al2O3 (Reentry),0.058911120000000004
11,BC (Reentry),0.004774829
12,Cl (Reentry),0.0017766190000000001
13,HCl (Reentry),0.0008815040000000001
14,Cly (Total),0.00665625000793744
15,NOx (Total),0.17871660419990673
16,Total Emis,11.004492558757928
17,Total Prop,6.938446866588493
18,Surviving Mass,0.4811674
