,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.1355379652842262
1,CO (Launch),0.5588009060076713
2,CO2 (Launch),15.805539076577189
3,NOx (Launch),0.2005215925558426
4,H2O (Launch),11.617743152682818
5,Al2O3 (Launch),1.1161006130294877
6,Cl (Launch),0.059770801560411445
7,HCl (Launch),0.4840909736044665
8,Cl2 (Launch),0.19453362764790524
9,NOx (Reentry),0.9621930602
10,Al2O3 (Reentry),0.52825904691
11,BC (Reentry),0.020821970607999996
12,Cl (Reentry),0.007766486320000001
13,HCl (Reentry),0.0038119054540000008
14,Cly (Total),0.7499737945867833
15,NOx (Total),1.1627146527558425
16,Total Emis,31.695491178442023
17,Total Prop,22.934377214066465
18,Surviving Mass,1.7999003051000013
