,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.23729181193596469
1,CO (Launch),1.0203032134960133
2,CO2 (Launch),28.66597385604676
3,NOx (Launch),0.3246049282400825
4,H2O (Launch),17.244786395139812
5,Al2O3 (Launch),0.9586088738681702
6,Cl (Launch),0.053454280662499506
7,HCl (Launch),0.41057669065604413
8,Cl2 (Launch),0.17017024598916894
9,NOx (Reentry),1.3009434258
10,Al2O3 (Reentry),0.73424166639
11,BC (Reentry),0.031971228632
12,Cl (Reentry),0.011906175880000003
13,HCl (Reentry),0.005884951466
14,Cly (Total),0.6519923446537126
15,NOx (Total),1.6255483540400826
16,Total Emis,51.17071774420251
17,Total Prop,37.08284310861543
18,Surviving Mass,2.6645113478999995
