,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.16261819937908908
1,CO (Launch),0.6407071988471376
2,CO2 (Launch),18.241241044762994
3,NOx (Launch),0.26823860693874485
4,H2O (Launch),13.081582992564439
5,Al2O3 (Launch),0.9586088738681702
6,Cl (Launch),0.053454280662499506
7,HCl (Launch),0.41057669065604413
8,Cl2 (Launch),0.17017024598916894
9,NOx (Reentry),1.0815843508
10,Al2O3 (Reentry),0.63278587139
11,BC (Reentry),0.025536514632
12,Cl (Reentry),0.00950837788
13,HCl (Reentry),0.004703030466
14,Cly (Total),0.6484126256537126
15,NOx (Total),1.3498229577387448
16,Total Emis,35.74131627883629
17,Total Prop,27.38665773477994
18,Surviving Mass,1.9889581978999973
