,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.23470541401708309
1,CO (Launch),1.0583244147696464
2,CO2 (Launch),32.41457843543488
3,NOx (Launch),0.3303225133240618
4,H2O (Launch),19.98001794630829
5,Al2O3 (Launch),1.242102565845509
6,Cl (Launch),0.06819626878263872
7,HCl (Launch),0.5343817370465118
8,Cl2 (Launch),0.2191783979650768
9,NOx (Reentry),1.372720749000001
10,Al2O3 (Reentry),0.7566335385499995
11,BC (Reentry),0.03688619074000003
12,Cl (Reentry),0.013712311659999985
13,HCl (Reentry),0.006830504049999992
14,Cly (Total),0.8422992195042273
15,NOx (Total),1.703043262324063
16,Total Emis,58.2685909874937
17,Total Prop,42.28532996992659
18,Surviving Mass,2.746571033499991
