,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.34082172828540747
1,CO (Launch),1.7213689982564395
2,CO2 (Launch),43.44037134046576
3,NOx (Launch),0.2302250652627123
4,H2O (Launch),17.898601831565404
5,Al2O3 (Launch),0.296184
6,Cl (Launch),0.0171896694290901
7,HCl (Launch),0.12533354688934192
8,Cl2 (Launch),0.05342769389910846
9,NOx (Reentry),0.736515125
10,Al2O3 (Reentry),0.28530594000000004
11,BC (Reentry),0.024621470000000003
12,Cl (Reentry),0.00916661
13,HCl (Reentry),0.00453629
14,Cly (Total),0.20965381021754045
15,NOx (Total),0.9667401902627124
16,Total Emis,65.18366930905327
17,Total Prop,41.23963423087934
18,Surviving Mass,2.7564218
