,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.19117670043430313
1,CO (Launch),0.8413849379216384
2,CO2 (Launch),23.235810385576002
3,NOx (Launch),0.24006382175574942
4,H2O (Launch),14.598639577152092
5,Al2O3 (Launch),1.1221438680474336
6,Cl (Launch),0.060100906008444865
7,HCl (Launch),0.48669429228142885
8,Cl2 (Launch),0.19559833153084694
9,NOx (Reentry),1.1013674351999998
10,Al2O3 (Reentry),0.5871701669100001
11,BC (Reentry),0.025596799608
12,Cl (Reentry),0.00954310532
13,HCl (Reentry),0.004693409453999999
14,Cly (Total),0.7566300445947207
15,NOx (Total),1.3414312569557492
16,Total Emis,42.699983737199936
17,Total Prop,29.872824080654972
18,Surviving Mass,2.281067705100001
