Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.01796129,0.010660034
CO (Launch),0.110195523,0.152836151
CO2 (Launch),2.254410513,0.303954452
NOx (Launch),0.011719017,3.2647e-05
H2O (Launch),0.930998409,0.211417786
Al2O3 (Launch),0.012822396,0.004606089
Cl (Launch),0.000646834,0.000716191
HCl (Launch),0.005643256,0.000926835
Cl2 (Launch),0.002193015,0.001390252
NOx (Reentry),0.0975354,0.0
Al2O3 (Reentry),0.058155195,0.0
BC (Reentry),0.002847841,0.0
Cl (Reentry),0.001052519,0.0
HCl (Reentry),0.000537745,0.0
Cly (Total),0.010073369,0.003033278
NOx (Total),0.109254417,3.2647e-05
Total Emis,3.506718954,0.686540437
Total Prop,2.159574043,0.489267268
Surviving Mass,0.16310295,0.16310295
