Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.119178627,0.057191767
CO (Launch),0.534376758,0.662063315
CO2 (Launch),15.315298881,1.40409333
NOx (Launch),0.149343486,0.010064811
H2O (Launch),8.135868922,2.425355213
Al2O3 (Launch),0.330612608,0.00827318
Cl (Launch),0.015057963,0.001286379
HCl (Launch),0.149123153,0.001664725
Cl2 (Launch),0.054547261,0.002497088
NOx (Reentry),0.9070238,0.0
Al2O3 (Reentry),0.581274815,0.0
BC (Reentry),0.029547624,0.0
Cl (Reentry),0.010960904,0.0
HCl (Reentry),0.005510919,0.0
Cly (Total),0.235200199,0.005448192
NOx (Total),1.056367286,0.010064811
Total Emis,26.337725719,4.572489807
Total Prop,18.190157418,3.747341025
Surviving Mass,1.43253795,1.43253795
