Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.098490709,0.054777972
CO (Launch),0.458233248,0.677822821
CO2 (Launch),12.003024077,1.408081866
NOx (Launch),0.117740554,0.006911321
H2O (Launch),6.518270627,1.750221715
Al2O3 (Launch),0.474122184,0.011617044
Cl (Launch),0.021349903,0.001806309
HCl (Launch),0.214398739,0.002337576
Cl2 (Launch),0.077923533,0.003506364
NOx (Reentry),0.763389375,0.0
Al2O3 (Reentry),0.48745783,0.0
BC (Reentry),0.024272692,0.0
Cl (Reentry),0.009003244,0.0
HCl (Reentry),0.004528588,0.0
Cly (Total),0.327204007,0.007650249
NOx (Total),0.881129929,0.006911321
Total Emis,21.272205302,3.917082988
Total Prop,14.595911317,3.121228483
Surviving Mass,1.1998361,1.1998361
