Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.009219642,0.003712259
CO (Launch),0.054003657,0.052651927
CO2 (Launch),1.213639597,0.104763446
NOx (Launch),0.006406641,4.3024e-05
H2O (Launch),0.495988384,0.074231773
Al2O3 (Launch),0.004694843,0.001976303
Cl (Launch),0.00023762,0.000307291
HCl (Launch),0.002064489,0.000397671
Cl2 (Launch),0.000803928,0.000596506
NOx (Reentry),0.04841625,0.0
Al2O3 (Reentry),0.027672545,0.0
BC (Reentry),0.001438985,0.0
Cl (Reentry),0.000528831,0.0
HCl (Reentry),0.000276773,0.0
Cly (Total),0.003911642,0.001301468
NOx (Total),0.054822891,4.3024e-05
Total Emis,1.865392184,0.238680201
Total Prop,1.151971363,0.171555688
Surviving Mass,0.07980865,0.07980865
