Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.095021356,0.058565378
CO (Launch),0.516123016,0.80342052
CO2 (Launch),11.075101898,1.623253272
NOx (Launch),0.087386416,0.002533919
H2O (Launch),5.431937395,1.180559559
Al2O3 (Launch),0.344480742,0.012773924
Cl (Launch),0.015809139,0.001986189
HCl (Launch),0.155111467,0.002570363
Cl2 (Launch),0.05698272,0.003855544
NOx (Reentry),0.62008195,0.0
Al2O3 (Reentry),0.382221225,0.0
BC (Reentry),0.02039975,0.0
Cl (Reentry),0.00753817,0.0
HCl (Reentry),0.003854135,0.0
Cly (Total),0.239295631,0.008412096
NOx (Total),0.707468366,0.002533919
Total Emis,18.81204938,3.689518668
Total Prop,12.423309695,2.741790855
Surviving Mass,0.99245425,0.99245425
