,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.023126474978119406
1,CO (Launch),0.17523487886293182
2,CO2 (Launch),2.304606356221186
3,NOx (Launch),0.011042226022452356
4,H2O (Launch),1.0025424760469408
5,Al2O3 (Launch),0.02517311580031448
6,Cl (Launch),0.001347770623626894
7,HCl (Launch),0.010905016425418627
8,Cl2 (Launch),0.004401369752854642
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.016654156801900164
15,NOx (Total),0.011042226022452356
16,Total Emis,3.558379684733845
17,Total Prop,2.3177891144201985
18,Surviving Mass,0.0
