Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.084111354,0.045724491
CO (Launch),0.432013601,0.607040921
CO2 (Launch),9.239997026,1.237586474
NOx (Launch),0.087367764,0.003233439
H2O (Launch),4.996133554,0.935612445
Al2O3 (Launch),0.461661595,0.009057882
Cl (Launch),0.02089859,0.00140839
HCl (Launch),0.208518913,0.001822623
Cl2 (Launch),0.076010932,0.002733934
NOx (Reentry),0.594823275,0.0
Al2O3 (Reentry),0.35254426,0.0
BC (Reentry),0.016428335,0.0
Cl (Reentry),0.006065913,0.0
HCl (Reentry),0.003111794,0.0
Cly (Total),0.314606141,0.005964946
NOx (Total),0.682191039,0.003233439
Total Emis,16.579686906,2.844220597
Total Prop,11.330666563,2.174102172
Surviving Mass,0.9822014,0.9822014
