Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.055454817,0.035386553
CO (Launch),0.336730925,0.502362364
CO2 (Launch),6.564980745,1.004471168
NOx (Launch),0.038504864,0.00046191
H2O (Launch),2.874448363,0.702771167
Al2O3 (Launch),0.0951659,0.010482619
Cl (Launch),0.005273627,0.001629919
HCl (Launch),0.040827593,0.002109308
Cl2 (Launch),0.016859116,0.003163961
NOx (Reentry),0.364950875,0.0
Al2O3 (Reentry),0.22374535,0.0
BC (Reentry),0.011303793,0.0
Cl (Reentry),0.004181447,0.0
HCl (Reentry),0.00212814,0.0
Cly (Total),0.069269924,0.006903188
NOx (Total),0.403455739,0.00046191
Total Emis,10.634555556,2.262838968
Total Prop,6.630907685,1.62979334
Surviving Mass,0.5916151,0.5916151
