Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.034973546,0.020969831
CO (Launch),0.214883027,0.300331657
CO2 (Launch),4.408671118,0.598613079
NOx (Launch),0.022884327,0.000102233
H2O (Launch),1.812440934,0.415091057
Al2O3 (Launch),0.017278366,0.007156808
Cl (Launch),0.00087599,0.001112796
HCl (Launch),0.007594609,0.001440089
Cl2 (Launch),0.002960509,0.002160134
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.011431109,0.00471302
NOx (Total),0.022884327,0.000102233
Total Emis,6.522562427,1.346977685
Total Prop,4.209442695,0.9619131
Surviving Mass,0.0,0.0
