Species,Emissions 0-80 km [Gg]
BC (Launch),0.135540662
CO (Launch),0.558809345
CO2 (Launch),15.805372436
NOx (Launch),0.200517261
H2O (Launch),11.617571202
Al2O3 (Launch),1.115993269
Cl (Launch),0.059778189
HCl (Launch),0.484015149
Cl2 (Launch),0.194531047
NOx (Reentry),0.96219306
Al2O3 (Reentry),0.528259047
BC (Reentry),0.020821971
Cl (Reentry),0.007766486
HCl (Reentry),0.003811905
Cly (Total),0.749902778
NOx (Total),1.162710321
Total Emis,31.69498103
Total Prop,22.934049946
Surviving Mass,1.799900305
