Species,Emissions 0-80 km [Gg]
BC (Launch),0.223775015
CO (Launch),0.959415
CO2 (Launch),26.73120234
NOx (Launch),0.290534195
H2O (Launch),17.5886263
Al2O3 (Launch),1.776971639
Cl (Launch),0.09271709
HCl (Launch),0.77536124
Cl2 (Launch),0.307539448
NOx (Reentry),1.308170307
Al2O3 (Reentry),0.721812363
BC (Reentry),0.029201953
Cl (Reentry),0.010853223
HCl (Reentry),0.005411774
Cly (Total),1.191882774
NOx (Total),1.598704502
Total Emis,50.821591887
Total Prop,35.797248244
Surviving Mass,2.627550084
