Species,Emissions 0-80 km [Gg]
BC (Launch),0.161715735
CO (Launch),0.638602993
CO2 (Launch),18.174614022
NOx (Launch),0.265596941
H2O (Launch),12.996301186
Al2O3 (Launch),0.947129193
Cl (Launch),0.05261665
HCl (Launch),0.406363472
Cl2 (Launch),0.167626311
NOx (Reentry),1.081584351
Al2O3 (Reentry),0.632785871
BC (Reentry),0.025536515
Cl (Reentry),0.009508378
HCl (Reentry),0.00470303
Cly (Total),0.640817841
NOx (Total),1.347181292
Total Emis,35.564684648
Total Prop,27.195284336
Surviving Mass,1.988958198
