Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.237185906,0.175308134
CO (Launch),1.020515986,2.22005958
CO2 (Launch),28.639213028,4.562350051
NOx (Launch),0.324018466,0.018672297
H2O (Launch),17.216207681,4.517157338
Al2O3 (Launch),0.946984633,0.069980843
Cl (Launch),0.052593957,0.010881168
HCl (Launch),0.406334237,0.014081511
Cl2 (Launch),0.1675826,0.021122267
NOx (Reentry),1.298672346,0.0
Al2O3 (Reentry),0.737348852,0.0
BC (Reentry),0.03118673,0.0
Cl (Reentry),0.011618097,0.0
HCl (Reentry),0.005733679,0.0
Cly (Total),0.64386257,0.046084945
NOx (Total),1.622690812,0.018672297
Total Emis,51.095196198,11.609613187
Total Prop,37.024132862,9.14486075
Surviving Mass,2.63743189,2.63743189
