Species,Emissions 0-80 km [Gg]
BC (Launch),0.265539032
CO (Launch),1.180456363
CO2 (Launch),33.111110841
NOx (Launch),0.312716445
H2O (Launch),19.046510563
Al2O3 (Launch),1.331271918
Cl (Launch),0.070470784
HCl (Launch),0.578835467
Cl2 (Launch),0.231443331
NOx (Reentry),1.403046358
Al2O3 (Reentry),0.781563726
BC (Reentry),0.034854045
Cl (Reentry),0.012976605
HCl (Reentry),0.006420892
Cly (Total),0.900147078
NOx (Total),1.715762803
Total Emis,58.367216369
Total Prop,40.394756953
Surviving Mass,2.971664962
