Species,Emissions 0-80 km [Gg]
BC (Launch),0.132178941
CO (Launch),0.658875706
CO2 (Launch),16.668325222
NOx (Launch),0.094222119
H2O (Launch),6.957609536
Al2O3 (Launch),0.13503432
Cl (Launch),0.008637113
HCl (Launch),0.055354752
Cl2 (Launch),0.025344789
NOx (Reentry),0.29250955
Al2O3 (Reentry),0.11304206
BC (Reentry),0.009403401
Cl (Reentry),0.003502095
HCl (Reentry),0.001730478
Cly (Total),0.094569227
NOx (Total),0.386731669
Total Emis,25.155770082
Total Prop,16.113893886
Surviving Mass,1.0889672
