Species,Emissions 0-80 km [Gg]
BC (Launch),0.055638735
CO (Launch),0.282584032
CO2 (Launch),7.430271309
NOx (Launch),0.039542229
H2O (Launch),2.980896424
Al2O3 (Launch),0.006043255
Cl (Launch),0.000330104
HCl (Launch),0.002603319
Cl2 (Launch),0.001064704
NOx (Reentry),0.139174375
Al2O3 (Reentry),0.05891112
BC (Reentry),0.004774829
Cl (Reentry),0.001776619
HCl (Reentry),0.000881504
Cly (Total),0.00665625
NOx (Total),0.178716604
Total Emis,11.004492559
Total Prop,6.938446867
Surviving Mass,0.4811674
