Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.825041316,0.712514235
CO (Launch),4.275498049,10.256604246
CO2 (Launch),109.146797429,21.565839761
NOx (Launch),0.801164833,0.016343599
H2O (Launch),57.556194615,17.851288899
Al2O3 (Launch),3.019854162,0.280599076
Cl (Launch),0.17335275,0.043629734
HCl (Launch),1.28253377,0.056462009
Cl2 (Launch),0.542003772,0.084693014
NOx (Reentry),3.332939987,0.0
Al2O3 (Reentry),1.691095192,0.0
BC (Reentry),0.098980722,0.0
Cl (Reentry),0.036670936,0.0
HCl (Reentry),0.018539631,0.0
Cly (Total),2.053100859,0.184784758
NOx (Total),4.13410482,0.016343599
Total Emis,182.800667164,50.867974573
Total Prop,125.522604,38.351786315
Surviving Mass,8.527316419,8.527316419
