Species,Emissions 0-80 km [Gg]
BC (Launch),0.251033083
CO (Launch),1.259960073
CO2 (Launch),31.526190196
NOx (Launch),0.176727672
H2O (Launch),13.063249199
Al2O3 (Launch),0.158271823
Cl (Launch),0.009721753
HCl (Launch),0.065777365
Cl2 (Launch),0.02921112
NOx (Reentry),0.523551125
Al2O3 (Reentry),0.19168448
BC (Reentry),0.016418921
Cl (Reentry),0.006132399
HCl (Reentry),0.00299195
Cly (Total),0.113834587
NOx (Total),0.700278797
Total Emis,47.28092116
Total Prop,30.319591675
Surviving Mass,2.0517936
