,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.07546640297529324
1,CO (Launch),0.38119076446053973
2,CO2 (Launch),10.482912757003728
3,NOx (Launch),0.059395795440724236
4,H2O (Launch),4.2422439104078125
5,Al2O3 (Launch),0.0
6,Cl (Launch),0.0
7,HCl (Launch),0.0
8,Cl2 (Launch),0.0
9,NOx (Reentry),0.21935907500000001
10,Al2O3 (Reentry),0.101455795
11,BC (Reentry),0.006434714
12,Cl (Reentry),0.002397798
13,HCl (Reentry),0.001181921
14,Cly (Total),0.0035797190000000003
15,NOx (Total),0.2787548704407242
16,Total Emis,15.572038933288097
17,Total Prop,9.880969105223432
18,Surviving Mass,0.6755531500000005
