,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.6060725232778779
1,CO (Launch),2.900981225134912
2,CO2 (Launch),76.49493634430723
3,NOx (Launch),0.5422757812887338
4,H2O (Launch),36.92541221436249
5,Al2O3 (Launch),1.6383826881652062
6,Cl (Launch),0.0883163559567794
7,HCl (Launch),0.7087442474201319
8,Cl2 (Launch),0.28686887629505975
9,NOx (Reentry),2.139561483133332
10,Al2O3 (Reentry),1.0668696657566663
11,BC (Reentry),0.05947551535866698
12,Cl (Reentry),0.022143214646666673
13,HCl (Reentry),0.010957181512666638
14,Cly (Total),1.1170298758313042
15,NOx (Total),2.681837264422066
16,Total Emis,123.49099731661643
17,Total Prop,81.58093970746711
18,Surviving Mass,5.728086761566657
