Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.191317705,0.137800713
CO (Launch),0.841989831,1.792417385
CO2 (Launch),23.237545484,3.625538796
NOx (Launch),0.240145932,0.011263109
H2O (Launch),14.602165176,3.789628491
Al2O3 (Launch),1.122036524,0.106575059
Cl (Launch),0.060108294,0.016571122
HCl (Launch),0.486618468,0.021444981
Cl2 (Launch),0.195595751,0.032167472
NOx (Reentry),1.08681386,0.0
Al2O3 (Reentry),0.586050182,0.0
BC (Reentry),0.025279688,0.0
Cl (Reentry),0.009427417,0.0
HCl (Reentry),0.004630979,0.0
Cly (Total),0.75638091,0.070183575
NOx (Total),1.326959793,0.011263109
Total Emis,42.689725292,9.533407128
Total Prop,29.881141077,7.316681314
Surviving Mass,2.216420155,2.216420155
