Species,Emissions 0-80 km [Gg]
BC (Launch),0.235545758
CO (Launch),1.072009114
CO2 (Launch),31.714677871
NOx (Launch),0.346586807
H2O (Launch),20.449245297
Al2O3 (Launch),1.272236822
Cl (Launch),0.07088782
HCl (Launch),0.545028694
Cl2 (Launch),0.225776254
NOx (Reentry),1.372720749
Al2O3 (Reentry),0.756633539
BC (Reentry),0.036886191
Cl (Reentry),0.013712312
HCl (Reentry),0.006830504
Cly (Total),0.862235584
NOx (Total),1.719307556
Total Emis,58.11877773
Total Prop,43.027028279
Surviving Mass,2.746571033
