Species,Emissions 0-80 km [Gg]
BC (Launch),0.340821728
CO (Launch),1.721368998
CO2 (Launch),43.44037134
NOx (Launch),0.230225065
H2O (Launch),17.898601832
Al2O3 (Launch),0.296184
Cl (Launch),0.017189669
HCl (Launch),0.125333547
Cl2 (Launch),0.053427694
NOx (Reentry),0.736515125
Al2O3 (Reentry),0.28530594
BC (Reentry),0.02462147
Cl (Reentry),0.00916661
HCl (Reentry),0.00453629
Cly (Total),0.20965381
NOx (Total),0.96674019
Total Emis,65.183669309
Total Prop,41.239634231
Surviving Mass,2.7564218
