,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.113779809682027
1,CO (Launch),0.6774949227352357
2,CO2 (Launch),9.763690540461736
3,NOx (Launch),0.13414527256907657
4,H2O (Launch),6.347201258304194
5,Al2O3 (Launch),0.4564040284545598
6,Cl (Launch),0.02241742590394658
7,HCl (Launch),0.20224607873116476
8,Cl2 (Launch),0.07728659601802919
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.30195010065314054
15,NOx (Total),0.13414527256907657
16,Total Emis,17.79466593285997
17,Total Prop,14.493496060511049
18,Surviving Mass,0.0
