Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.096441049,0.053153558
CO (Launch),0.430431986,0.613875441
CO2 (Launch),11.869741905,1.302850936
NOx (Launch),0.126539683,0.009443849
H2O (Launch),6.51067513,1.745150399
Al2O3 (Launch),0.318827604,0.007594446
Cl (Launch),0.014496009,0.001180844
HCl (Launch),0.143865309,0.001528151
Cl2 (Launch),0.052570276,0.002292226
NOx (Reentry),0.756546905,0.0
Al2O3 (Reentry),0.475782037,0.0
BC (Reentry),0.024220887,0.0
Cl (Reentry),0.008974561,0.0
HCl (Reentry),0.004534898,0.0
Cly (Total),0.224441053,0.00500122
NOx (Total),0.883086588,0.009443849
Total Emis,20.83364824,3.737069848
Total Prop,14.68691629,3.113115671
Surviving Mass,1.210388525,1.210388525
