Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.124132128,0.065771136
CO (Launch),0.550144489,0.777580941
CO2 (Launch),14.244584909,1.638345318
NOx (Launch),0.155779023,0.010565817
H2O (Launch),8.185414433,1.450006681
Al2O3 (Launch),0.90978939,0.010597109
Cl (Launch),0.044203009,0.001647721
HCl (Launch),0.404185625,0.002132345
Cl2 (Launch),0.153514466,0.003198518
NOx (Reentry),1.031561375,0.0
Al2O3 (Reentry),0.633846135,0.0
BC (Reentry),0.030181484,0.0
Cl (Reentry),0.011171044,0.0
HCl (Reentry),0.005671319,0.0
Cly (Total),0.618745464,0.006978584
NOx (Total),1.187340398,0.010565817
Total Emis,26.484178829,3.959845586
Total Prop,18.462288725,3.313907095
Surviving Mass,1.66635755,1.66635755
