Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.142510741,0.065167157
CO (Launch),0.615996992,0.751857534
CO2 (Launch),16.558019102,1.59771441
NOx (Launch),0.177570043,0.011649608
H2O (Launch),9.167797134,1.448266271
Al2O3 (Launch),0.733725759,0.006798533
Cl (Launch),0.033780404,0.001057089
HCl (Launch),0.330150871,0.001367997
Cl2 (Launch),0.121490758,0.002051996
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.485422033,0.004477082
NOx (Total),0.177570043,0.011649608
Total Emis,27.881041803,3.885930595
Total Prop,20.873537583,3.312852959
Surviving Mass,0.0,0.0
