Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.137086676,0.069141161
CO (Launch),0.658816699,0.764629093
CO2 (Launch),15.476971147,1.648098536
NOx (Launch),0.164901992,0.014438319
H2O (Launch),8.595502503,1.51813167
Al2O3 (Launch),0.675383422,0.003073393
Cl (Launch),0.035068637,0.000477875
HCl (Launch),0.295014171,0.000618427
Cl2 (Launch),0.116740791,0.00092764
NOx (Reentry),1.031975475,0.0
Al2O3 (Reentry),0.634262985,0.0
BC (Reentry),0.029229188,0.0
Cl (Reentry),0.010822636,0.0
HCl (Reentry),0.005485517,0.0
Cly (Total),0.463131751,0.002023942
NOx (Total),1.196877467,0.014438319
Total Emis,27.867261838,4.019536113
Total Prop,19.578859737,3.539107858
Surviving Mass,1.66714605,1.66714605
