Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.14197232,0.067293904
CO (Launch),0.630393587,0.76230126
CO2 (Launch),17.110561055,1.628535842
NOx (Launch),0.169645233,0.012895277
H2O (Launch),9.005171109,1.478337626
Al2O3 (Launch),0.575090343,0.007333443
Cl (Launch),0.026933248,0.001140261
HCl (Launch),0.257742029,0.001475632
Cl2 (Launch),0.095795926,0.002213448
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.380471202,0.004829341
NOx (Total),0.169645233,0.012895277
Total Emis,28.013304848,3.961526691
Total Prop,20.600343134,3.424850809
Surviving Mass,0.0,0.0
