Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.108840304,0.04749519
CO (Launch),0.477265965,0.612966456
CO2 (Launch),14.949030941,1.258760071
NOx (Launch),0.119835682,0.004435986
H2O (Launch),7.581931906,2.172263561
Al2O3 (Launch),0.588727581,0.010049734
Cl (Launch),0.031811846,0.001562611
HCl (Launch),0.254399534,0.002022203
Cl2 (Launch),0.103282,0.003033304
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.38949338,0.006618118
NOx (Total),0.119835682,0.004435986
Total Emis,24.21512576,4.112589116
Total Prop,16.715848513,3.154551294
Surviving Mass,0.0,0.0
