,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.10596621294213389
1,CO (Launch),0.5863020393416273
2,CO2 (Launch),8.74232783106309
3,NOx (Launch),0.1402991813393395
4,H2O (Launch),6.381622070615407
5,Al2O3 (Launch),0.7488286850835861
6,Cl (Launch),0.0362517668694758
7,HCl (Launch),0.33296882740787376
8,Cl2 (Launch),0.12619330272761692
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.49541389700496646
15,NOx (Total),0.1402991813393395
16,Total Emis,17.200759917390148
17,Total Prop,14.376261951912149
18,Surviving Mass,0.0
