Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.114860079,0.052895038
CO (Launch),0.371871021,0.38431609
CO2 (Launch),10.849639334,0.949942006
NOx (Launch),0.236485149,0.02325216
H2O (Launch),13.920780096,3.17683083
Al2O3 (Launch),2.202908702,0.018798066
Cl (Launch),0.12731835,0.00292287
HCl (Launch),0.933971848,0.003782538
Cl2 (Launch),0.39612115,0.005673807
NOx (Reentry),1.09559431,0.0
Al2O3 (Reentry),0.626839003,0.0
BC (Reentry),0.028271085,0.0
Cl (Reentry),0.010462113,0.0
HCl (Reentry),0.005315441,0.0
Cly (Total),1.473188903,0.012379214
NOx (Total),1.332079459,0.02325216
Total Emis,30.920437682,4.618413403
Total Prop,23.984620672,4.413741962
Surviving Mass,2.00090853,2.00090853
