Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.110919562,0.063541147
CO (Launch),0.441597858,0.561985593
CO2 (Launch),11.818943398,1.273326749
NOx (Launch),0.205808297,0.02146442
H2O (Launch),10.564491099,2.281454434
Al2O3 (Launch),1.203297113,0.052225224
Cl (Launch),0.066474792,0.008120385
HCl (Launch),0.516809123,0.010508734
Cl2 (Launch),0.212799394,0.015763101
NOx (Reentry),0.9397281,0.0
Al2O3 (Reentry),0.57852267,0.0
BC (Reentry),0.01939241,0.0
Cl (Reentry),0.007218806,0.0
HCl (Reentry),0.003574598,0.0
Cly (Total),0.806876713,0.03439222
NOx (Total),1.145536397,0.02146442
Total Emis,26.689577219,4.288389787
Total Prop,20.587417533,4.071144046
Surviving Mass,1.5076743,1.5076743
