Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.13122796,0.065300358
CO (Launch),0.546735654,0.696328958
CO2 (Launch),13.801991221,1.471879234
NOx (Launch),0.192825505,0.014506828
H2O (Launch),12.535402401,2.764302966
Al2O3 (Launch),2.089552298,0.077736874
Cl (Launch),0.116407451,0.012087136
HCl (Launch),0.895465386,0.015642176
Cl2 (Launch),0.37054358,0.023463264
NOx (Reentry),1.035843995,0.0
Al2O3 (Reentry),0.609078973,0.0
BC (Reentry),0.018128821,0.0
Cl (Reentry),0.006747104,0.0
HCl (Reentry),0.003343929,0.0
Cly (Total),1.39250745,0.051192575
NOx (Total),1.2286695,0.014506828
Total Emis,32.353294278,5.141247794
Total Prop,23.066792189,4.356285204
Surviving Mass,1.781021135,1.781021135
