Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.134363529,0.071150386
CO (Launch),0.589121393,0.708241715
CO2 (Launch),15.355940273,1.546137639
NOx (Launch),0.213749338,0.019199879
H2O (Launch),12.620030837,2.670480066
Al2O3 (Launch),1.536211717,0.055291347
Cl (Launch),0.085734645,0.00859713
HCl (Launch),0.657873752,0.011125698
Cl2 (Launch),0.272726184,0.016688547
NOx (Reentry),1.099520517,0.0
Al2O3 (Reentry),0.665815398,0.0
BC (Reentry),0.022053537,0.0
Cl (Reentry),0.008202275,0.0
HCl (Reentry),0.004077159,0.0
Cly (Total),1.028614015,0.036411375
NOx (Total),1.313269855,0.019199879
Total Emis,33.265420554,5.106912408
Total Prop,24.11526563,4.550893607
Surviving Mass,1.803515128,1.803515128
