Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.18256142,0.10891554
CO (Launch),0.778801017,1.214346167
CO2 (Launch),19.973277157,2.553751848
NOx (Launch),0.279941947,0.021239398
H2O (Launch),15.424919903,3.59555422
Al2O3 (Launch),1.929151131,0.098010625
Cl (Launch),0.108225786,0.015239457
HCl (Launch),0.824851184,0.01972165
Cl2 (Launch),0.343220409,0.029582475
NOx (Reentry),1.166545638,0.0
Al2O3 (Reentry),0.672699296,0.0
BC (Reentry),0.021150503,0.0
Cl (Reentry),0.007871972,0.0
HCl (Reentry),0.003900831,0.0
Cly (Total),1.288070182,0.064543583
NOx (Total),1.446487585,0.021239398
Total Emis,41.717118193,7.656361381
Total Prop,30.826374683,6.458369704
Surviving Mass,2.128259184,2.128259184
