,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.1274907234308067
1,CO (Launch),0.545893403844576
2,CO2 (Launch),12.182862126878454
3,NOx (Launch),0.21570576846703207
4,H2O (Launch),11.339825920600056
5,Al2O3 (Launch),1.8320100210486077
6,Cl (Launch),0.10064871310562795
7,HCl (Launch),0.7881588315542439
8,Cl2 (Launch),0.3232227444725113
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),1.2120302891323833
15,NOx (Total),0.21570576846703207
16,Total Emis,27.455818253401915
17,Total Prop,22.256893282724867
18,Surviving Mass,0.0
