Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.128615949,0.065264905
CO (Launch),0.436381921,0.566033951
CO2 (Launch),13.499930833,1.290651859
NOx (Launch),0.250537274,0.022729974
H2O (Launch),15.09740226,3.465353284
Al2O3 (Launch),2.403241046,0.054344592
Cl (Launch),0.135347569,0.008449921
HCl (Launch),1.027318223,0.010935192
Cl2 (Launch),0.427282481,0.016402788
NOx (Reentry),1.33914165,0.0
Al2O3 (Reentry),0.776627774,0.0
BC (Reentry),0.033205695,0.0
Cl (Reentry),0.012291791,0.0
HCl (Reentry),0.00623723,0.0
Cly (Total),1.608477295,0.035787902
NOx (Total),1.589678924,0.022729974
Total Emis,35.573561696,5.500166468
Total Prop,26.567807525,5.01323494
Surviving Mass,2.373484132,2.373484132
